year,rank,country,happiness,gdp,social_support,healthy,freedom,generosity,corruption,dystopia
2018,147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,1.733
2018,148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,1.743
2018,149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,1.639
2018,150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,1.2440000000000002
2018,151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,0.4999999999999995
2018,152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,1.106
2018,153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,0.6280000000000001
2018,154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,1.6899999999999995
2018,155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2.4880000000000004
2018,156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,1.7519999999999998
2019,147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,1.582
2019,148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,0.1839999999999997
2019,149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,1.5400000000000005
2019,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,1.414
2019,151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,1.1389999999999998
2019,152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,0.4670000000000001
2019,153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,0.5310000000000001
2019,154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,1.792
2019,155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,2.4570000000000003
2019,156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,1.3740000000000003
2020,144,India,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859
2020,145,Malawi,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282
2020,146,Yemen,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127,1.116472721
2020,147,Botswana,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534
2020,148,Tanzania,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385
2020,149,Central African Republic,3.475899935,0.041072082,0.0,0.0,0.292814463,0.253513217,0.028264718,2.860197544
2020,150,Rwanda,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986
2020,151,Zimbabwe,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075
2020,152,South Sudan,2.816600084,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,1.378751278
2020,153,Afghanistan,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.135234714,0.001225785,1.507235646
2021,140,Burundi,3.775,0.0,0.062,0.155,0.298,0.172,0.212,2.876
2021,141,Yemen,3.658,0.329,0.831,0.272,0.268,0.092,0.089,1.776
2021,142,Tanzania,3.623,0.433,0.54,0.3,0.549,0.307,0.231,1.263
2021,143,Haiti,3.615,0.294,0.173,0.227,0.257,0.463,0.139,2.06
2021,144,Malawi,3.6,0.113,0.168,0.298,0.484,0.213,0.134,2.19
2021,145,Lesotho,3.512,0.451,0.731,0.007,0.405,0.103,0.015,1.8
2021,146,Botswana,3.467,1.099,0.724,0.34,0.539,0.027,0.088,0.648
2021,147,Rwanda,3.415,0.364,0.202,0.407,0.627,0.227,0.493,1.095
2021,148,Zimbabwe,3.145,0.457,0.649,0.243,0.359,0.157,0.075,1.205
2021,149,Afghanistan,2.523,0.37,0.0,0.126,0.0,0.122,0.01,1.895
2022,137,Zambia,3.76,0.93,0.577,0.306,0.525,0.203,0.083,1.135
2022,138,Malawi,3.75,0.648,0.279,0.388,0.477,0.14,0.157,1.661
2022,139,Tanzania,3.702,0.848,0.597,0.425,0.578,0.248,0.27,0.735
2022,140,Sierra Leone,3.574,0.686,0.416,0.273,0.387,0.202,0.055,1.556
2022,141,Lesotho,3.512,0.839,0.848,0.0,0.419,0.076,0.018,1.312
2022,142,Botswana,3.471,1.503,0.815,0.28,0.571,0.012,0.102,0.187
2022,143,Rwanda,3.268,0.785,0.133,0.462,0.621,0.187,0.544,0.536
2022,144,Zimbabwe,2.995,0.947,0.69,0.27,0.329,0.106,0.105,0.548
2022,145,Lebanon,2.955,1.392,0.498,0.631,0.103,0.082,0.034,0.216
2022,146,Afghanistan,2.404,0.758,0.0,0.289,0.0,0.089,0.005,1.263
