year,rank,country,happiness,GDP,social_support,healthy,freedom,generosity,corruption,rank,happiness,GDP,social_support2019,healthy,freedom2019,generosity,corruption,rank2020,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2020,rank2021,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2021,rank2022,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2022
2018,1.0,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2.0,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3.0,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,4.0,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,5.0,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,6.0,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,7.0,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,8.0,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,9.0,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,10.0,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,11.0,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,12.0,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,13.0,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,14.0,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
