country_id,country
1,Finland
2,Norway
3,Denmark
4,Iceland
5,Switzerland
6,Netherlands
7,Canada
8,New Zealand
9,Sweden
10,Australia
11,United Kingdom
12,Austria
13,Costa Rica
14,Ireland
15,Germany
16,Belgium
17,Luxembourg
18,United States
19,Israel
20,Czech Republic
21,Malta
22,France
23,Mexico
24,Chile
25,Taiwan
26,Panama
27,Brazil
28,Argentina
29,Guatemala
30,Uruguay
31,Qatar
32,Saudi Arabia
33,Singapore
34,Malaysia
35,Spain
36,Colombia
37,Trinidad & Tobago
38,Slovakia
39,El Salvador
40,Nicaragua
41,Poland
42,Bahrain
43,Uzbekistan
44,Kuwait
45,Thailand
46,Italy
47,Ecuador
48,Belize
49,Lithuania
50,Slovenia
51,Romania
52,Latvia
53,Japan
54,Mauritius
55,Jamaica
56,South Korea
57,Northern Cyprus
58,Russia
59,Kazakhstan
60,Cyprus
61,Bolivia
62,Estonia
63,Paraguay
64,Peru
65,Kosovo
66,Moldova
67,Turkmenistan
68,Hungary
69,Libya
70,Philippines
71,Honduras
72,Belarus
73,Turkey
74,Pakistan
75,Hong Kong
76,Portugal
77,Serbia
78,Greece
79,Lebanon
80,Montenegro
81,Croatia
82,Dominican Republic
83,Algeria
84,Morocco
85,China
86,Azerbaijan
87,Tajikistan
88,Macedonia
89,Jordan
90,Nigeria
91,Kyrgyzstan
92,Bosnia and Herzegovina
93,Mongolia
94,Vietnam
95,Indonesia
96,Bhutan
97,Somalia
98,Cameroon
99,Bulgaria
100,Nepal
101,Venezuela
102,Gabon
103,Palestinian Territories
104,South Africa
105,Iran
106,Ivory Coast
107,Ghana
108,Senegal
109,Laos
110,Tunisia
111,Albania
112,Sierra Leone
113,Congo (Brazzaville)
114,Bangladesh
115,Sri Lanka
116,Iraq
117,Mali
118,Namibia
119,Cambodia
120,Burkina Faso
121,Egypt
122,Mozambique
123,Kenya
124,Zambia
125,Mauritania
126,Ethiopia
127,Georgia
128,Armenia
129,Myanmar
130,Chad
131,Congo (Kinshasa)
132,India
133,Niger
134,Uganda
135,Benin
136,Sudan
137,Ukraine
138,Togo
139,Guinea
140,Lesotho
141,Angola
142,Madagascar
143,Zimbabwe
144,Afghanistan
145,Botswana
146,Malawi
147,Haiti
148,Liberia
149,Syria
150,Rwanda
151,Yemen
152,Tanzania
153,South Sudan
154,Central African Republic
155,Burundi
156,United Arab Emirates
157,North Macedonia
158,Gambia
159,Swaziland
160,Comoros
161,Taiwan Province of China
162,Trinidad and Tobago
163,North Cyprus
164,Hong Kong S.A.R. of China
165,Maldives
166,Czechia
167,Congo
168,"Eswatini, Kingdom of"
