year,rank,country,happiness,gdp,social_support,healthy,freedom,generosity,corruption,dystopia
2018,1,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2.585
2018,2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2.383000000000001
2018,3,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2.3709999999999996
2018,4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2.426
2018,5,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2.3179999999999996
2018,6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2.4479999999999995
2018,7,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2.3050000000000006
2018,8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2.1559999999999997
2018,9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2.218
2018,10,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2.1390000000000002
2018,11,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2.817
2018,12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2.3200000000000003
2018,13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2.9099999999999993
2018,14,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,1.843
2018,15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2.151
2018,16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2.214999999999999
2018,17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,1.769000000000001
2018,18,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2.2270000000000003
2018,19,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,1.912
2018,21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2.4939999999999998
2018,22,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142,1.7849999999999993
2018,23,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2.0280000000000005
2018,24,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2.794
2018,25,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2.5170000000000003
2018,26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2.1359999999999992
2018,27,Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2.3360000000000003
2018,28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2.593
2018,29,Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2.4170000000000003
2018,30,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2.8709999999999996
2018,31,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2.145999999999999
2018,32,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,1.592999999999999
2018,33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2.2940000000000005
2018,34,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,1.0060000000000002
2018,35,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2.508
2018,36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,1.891
2018,37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2.5569999999999995
2018,38,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2.1479999999999997
2018,39,Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2.1640000000000006
2018,40,El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2.883
2018,41,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2.5909999999999993
2018,42,Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2.000000000000001
2018,43,Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,1.7430000000000003
2018,44,Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259,1.8770000000000007
2018,45,Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,1.806
2018,46,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,1.9020000000000001
2018,47,Italy,6.0,1.264,1.501,0.946,0.281,0.137,0.028,1.8430000000000009
2018,48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2.2279999999999998
2018,49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,2.709000000000001
2018,50,Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2.13
2018,51,Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,1.5229999999999997
2018,52,Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,2.2670000000000003
2018,53,Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,2.1390000000000002
2018,54,Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15,1.3889999999999993
2018,55,Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05,1.850999999999999
2018,56,Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031,2.1829999999999994
2018,57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,1.9800000000000004
